Nx	NxLength	Assembly
1	27905053	Contigs
2	27905053	Contigs
3	27905053	Contigs
4	27905053	Contigs
5	27905053	Contigs
7	27905053	Contigs
NA	NA	NA
8	27905053	Contigs
9	27905053	Contigs
10	27905053	Contigs
11	27905053	Contigs
12	27905053	Contigs
13	27905053	Contigs
14	27905053	Contigs
15	27905053	Contigs
16	27905053	Contigs
17	27905053	Contigs
18	27905053	Contigs
19	27905053	Contigs
20	21907215	Contigs
21	21907215	Contigs
22	21907215	Contigs
23	21907215	Contigs
24	21907215	Contigs
25	21907215	Contigs
26	21907215	Contigs
27	21907215	Contigs
28	21907215	Contigs
29	21907215	Contigs
30	21907215	Contigs
31	21907215	Contigs
32	21907215	Contigs
33	21907215	Contigs
34	21907215	Contigs
35	21485538	Contigs
36	21485538	Contigs
37	21485538	Contigs
38	21485538	Contigs
39	21485538	Contigs
40	21485538	Contigs
41	21485538	Contigs
42	21485538	Contigs
43	21485538	Contigs
44	21485538	Contigs
45	21485538	Contigs
46	21485538	Contigs
47	21485538	Contigs
48	21485538	Contigs
49	21485538	Contigs
50	21485538	Contigs
51	19478218	Contigs
52	19478218	Contigs
53	19478218	Contigs
54	19478218	Contigs
55	19478218	Contigs
56	19478218	Contigs
57	19478218	Contigs
58	19478218	Contigs
59	19478218	Contigs
60	19478218	Contigs
61	19478218	Contigs
62	19478218	Contigs
63	19478218	Contigs
64	17021040	Contigs
65	17021040	Contigs
66	17021040	Contigs
67	17021040	Contigs
68	17021040	Contigs
69	17021040	Contigs
70	17021040	Contigs
71	17021040	Contigs
72	17021040	Contigs
73	17021040	Contigs
74	17021040	Contigs
75	17021040	Contigs
76	5107766	Contigs
77	5107766	Contigs
78	5107766	Contigs
79	5107766	Contigs
80	4506129	Contigs
81	4506129	Contigs
82	4506129	Contigs
83	1933284	Contigs
84	1763709	Contigs
85	1200662	Contigs
86	1156776	Contigs
87	1093371	Contigs
88	947676	Contigs
89	839630	Contigs
90	666663	Contigs
91	533281	Contigs
92	353733	Contigs
93	231334	Contigs
94	159200	Contigs
95	69921	Contigs
96	25783	Contigs
97	7123	Contigs
98	2855	Contigs
99	1533	Contigs
100	176	Contigs
