Nx	NxLength	Assembly
1	32079331	Scaffolds
2	32079331	Scaffolds
3	32079331	Scaffolds
4	32079331	Scaffolds
5	32079331	Scaffolds
7	32079331	Scaffolds
NA	NA	NA
8	32079331	Scaffolds
9	32079331	Scaffolds
10	32079331	Scaffolds
11	32079331	Scaffolds
12	32079331	Scaffolds
13	32079331	Scaffolds
14	32079331	Scaffolds
15	32079331	Scaffolds
16	32079331	Scaffolds
17	32079331	Scaffolds
18	32079331	Scaffolds
19	32079331	Scaffolds
20	32079331	Scaffolds
21	32079331	Scaffolds
22	32079331	Scaffolds
23	28110227	Scaffolds
24	28110227	Scaffolds
25	28110227	Scaffolds
26	28110227	Scaffolds
27	28110227	Scaffolds
28	28110227	Scaffolds
29	28110227	Scaffolds
30	28110227	Scaffolds
31	28110227	Scaffolds
32	28110227	Scaffolds
33	28110227	Scaffolds
34	28110227	Scaffolds
35	28110227	Scaffolds
36	28110227	Scaffolds
37	28110227	Scaffolds
38	28110227	Scaffolds
39	28110227	Scaffolds
40	28110227	Scaffolds
41	28110227	Scaffolds
42	25286936	Scaffolds
43	25286936	Scaffolds
44	25286936	Scaffolds
45	25286936	Scaffolds
46	25286936	Scaffolds
47	25286936	Scaffolds
48	25286936	Scaffolds
49	25286936	Scaffolds
50	25286936	Scaffolds
51	25286936	Scaffolds
52	25286936	Scaffolds
53	25286936	Scaffolds
54	25286936	Scaffolds
55	25286936	Scaffolds
56	25286936	Scaffolds
57	25286936	Scaffolds
58	25286936	Scaffolds
59	25286936	Scaffolds
60	23542271	Scaffolds
61	23542271	Scaffolds
62	23542271	Scaffolds
63	23542271	Scaffolds
64	23542271	Scaffolds
65	23542271	Scaffolds
66	23542271	Scaffolds
67	23542271	Scaffolds
68	23542271	Scaffolds
69	23542271	Scaffolds
70	23542271	Scaffolds
71	23542271	Scaffolds
72	23542271	Scaffolds
73	23542271	Scaffolds
74	23542271	Scaffolds
75	23542271	Scaffolds
76	23513712	Scaffolds
77	23513712	Scaffolds
78	23513712	Scaffolds
79	23513712	Scaffolds
80	23513712	Scaffolds
81	23513712	Scaffolds
82	23513712	Scaffolds
83	23513712	Scaffolds
84	23513712	Scaffolds
85	23513712	Scaffolds
86	23513712	Scaffolds
87	23513712	Scaffolds
88	23513712	Scaffolds
89	23513712	Scaffolds
90	23513712	Scaffolds
91	23513712	Scaffolds
92	23513712	Scaffolds
93	3667352	Scaffolds
94	3667352	Scaffolds
95	1348131	Scaffolds
96	73091	Scaffolds
97	19524	Scaffolds
98	4085	Scaffolds
99	1962	Scaffolds
100	544	Scaffolds
