Nx	NxLength	Assembly
1	16990071	Unitigs
2	16990071	Unitigs
3	16990071	Unitigs
4	16990071	Unitigs
5	16990071	Unitigs
7	16990071	Unitigs
NA	NA	NA
8	16990071	Unitigs
9	16990071	Unitigs
10	16990071	Unitigs
11	16990071	Unitigs
12	16990071	Unitigs
13	12164686	Unitigs
14	12164686	Unitigs
15	12164686	Unitigs
16	12164686	Unitigs
17	12164686	Unitigs
18	12164686	Unitigs
19	12164686	Unitigs
20	12164686	Unitigs
21	12164686	Unitigs
22	12164686	Unitigs
23	8921587	Unitigs
24	8921587	Unitigs
25	8921587	Unitigs
26	8921587	Unitigs
27	8921587	Unitigs
28	8921587	Unitigs
29	7845289	Unitigs
30	7845289	Unitigs
31	7845289	Unitigs
32	7845289	Unitigs
33	7845289	Unitigs
34	7845289	Unitigs
35	6627673	Unitigs
36	6627673	Unitigs
37	6627673	Unitigs
38	6627673	Unitigs
39	6627673	Unitigs
40	6260769	Unitigs
41	6260769	Unitigs
42	6260769	Unitigs
43	6260769	Unitigs
44	6260769	Unitigs
45	4906240	Unitigs
46	4906240	Unitigs
47	4906240	Unitigs
48	4906240	Unitigs
49	4494246	Unitigs
50	4494246	Unitigs
51	4494246	Unitigs
52	3659983	Unitigs
53	3659983	Unitigs
54	3659983	Unitigs
55	3655410	Unitigs
56	3655410	Unitigs
57	3655410	Unitigs
58	3287195	Unitigs
59	3287195	Unitigs
60	3241963	Unitigs
61	3241963	Unitigs
62	3241963	Unitigs
63	2886516	Unitigs
64	2886516	Unitigs
65	2878825	Unitigs
66	2878825	Unitigs
67	2664827	Unitigs
68	2664827	Unitigs
69	2604706	Unitigs
70	2604706	Unitigs
71	2277347	Unitigs
72	2277347	Unitigs
73	2079486	Unitigs
74	2079486	Unitigs
75	2052962	Unitigs
76	1947289	Unitigs
77	1947289	Unitigs
78	1782891	Unitigs
79	1659831	Unitigs
80	1604734	Unitigs
81	1272212	Unitigs
82	921478	Unitigs
83	802867	Unitigs
84	721375	Unitigs
85	678243	Unitigs
86	643000	Unitigs
87	614635	Unitigs
88	538481	Unitigs
89	461435	Unitigs
90	375889	Unitigs
91	342124	Unitigs
92	330079	Unitigs
93	259464	Unitigs
94	214627	Unitigs
95	150607	Unitigs
96	111572	Unitigs
97	89864	Unitigs
98	65241	Unitigs
99	40936	Unitigs
100	1172	Unitigs
